title,author,rating,rating_count,description,isbn,image,book_url,pages,published_year,language,genres,source
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,9953205.0,"Winning means fame and fortune. Losing means certain death. The Hunger Games have begun. . . . In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV. Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before-and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weigh survival against humanity and life against love.",9780439023481.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games,374.0,2008,English,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction",web_scraping
Pride and Prejudice,Jane Austen,4.3,4827168.0,"Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England. Alternate cover edition of ISBN 9780679783268",9781441341709.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,279.0,1813,English,"Classics, Romance, Fiction, Historical Fiction, Historical",web_scraping
To Kill a Mockingbird,Harper Lee,4.26,6911906.0,"""Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird."" A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel - a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with exuberant humour the irrationality of adult attitudes to race and class in the Deep South of the 1930s. The conscience of a town steeped in prejudice, violence and hypocrisy is pricked by the stamina of one man's struggle for justice. But the weight of history will only tolerate so much. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film.",9780060935467.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,323.0,1960,English,"Classics, Fiction, Historical Fiction, School, Literature",web_scraping
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3808735.0,"It's official: the evil Lord Voldemort has returned. His influence is suddenly everywhere in the Wizarding world, and his former allies, the Death Eaters, are returning to his side in droves. In response, the Order of the Phoenix, which worked to stop him during his last rise to power, has reconvened. This time, all of the adults Harry trusts have joined in. And even though Harry is at the center of many of their plans - Voldemort is intent on killing him, after all - they want so badly to protect him that they are keeping him completely out of the loop. Problems are cropping up at Hogwarts, too, where government officials are meddling in just about everything. And just because Voldemort and the Death Eaters are threatening open warfare does not mean that fifth-year students get out of their exams. Meanwhile, Harry's powerful connection to Voldemort seems to be growing even stronger, as he realizes that he has direct access to the Dark Lord's mind. It's time for Harry and his friends to take drastic action, but the course they choose will have terrible unforeseen consequences. Truly dangerous times have arrived in the fifth Harry Potter novel, but it never loses the trademark fun, excitement, and wonder at the possibilities of magic.",9780439358064.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1627045351i/58613451.jpg,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix,896.0,2003,English,"Fantasy, Fiction, Young Adult, Harry Potter, Magic",web_scraping
The Book Thief,Markus Zusak,4.39,2890214.0,"Librarian's note: An alternate cover edition can be found here It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still. By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found. But these are dangerous times. When Liesel's foster family hides a Jew in their basement, Liesel's world is both opened up, and closed down. In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time. (Note: this title was not published as YA fiction)",,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,https://www.goodreads.com/book/show/19063.The_Book_Thief,592.0,2005,English,"Historical Fiction, Fiction, Young Adult, Classics, Historical",web_scraping
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,7336422.0,"About three things I was absolutely positive. First, Edward was a vampire. Second, there was a part of him - and I didn't know how dominant that part might be - that thirsted for my blood. And third, I was unconditionally and irrevocably in love with him. Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",9780316015844.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865.jpg,https://www.goodreads.com/book/show/41865.Twilight,498.0,2005,English,"Fantasy, Young Adult, Romance, Fiction, Vampires",web_scraping
Animal Farm,George Orwell,4.02,4579947.0,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here . A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.",9780451526342.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,https://www.goodreads.com/book/show/170448.Animal_Farm,141.0,1945,English,"Classics, Fiction, Dystopia, Fantasy, School",web_scraping
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.62,144656.0,"These magical adaptations became instant classics when they were first broadcast on BBC Radio 4, and continue to delight today. Tolkien's epic tale of Middle-earth has all the classic ingredients of fantasy and adventure: dwarves, elves, goblins and trolls, a terrifying dragon, a great wizard, a fearsome evil, a perilous quest and a dramatic climax. With an all-star cast including Ian Holm, Michael Hordern, Robert Stephens, John le Mesurier and Bill Nighy, these enchanting dramatisations are a must for all Tolkien fans. 'For those who find the books too long-winded and the films too noisy, this is the perfect way to assimilate the myth and magic of Middle-earth' - Guardian. 19 CDs. 17 hrs 30 mins.",9780345538376.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,1728.0,1954,English,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy",web_scraping
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,709593.0,"Librarian note: An alternate cover for this edition can be found here: 2005 . Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe , written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia. For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations. This edition presents all seven books—unabridged—in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.",9780066238500.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,767.0,1956,English,"Fantasy, Classics, Fiction, Young Adult, Childrens",web_scraping
The Fault in Our Stars,John Green,4.12,5742395.0,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.",,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085.jpg,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,313.0,2012,English,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction",web_scraping
